Case_ID,Client_ID,Attorney_Assigned,Date_Filed,Current_Stage,Total_Case_Duration_Days
CASE0098,C0101,Attorney Patel,6/24/2024,Negotiation,170
CASE0099,C0299,Attorney Smith,11/3/2024,Litigation,337
CASE0100,C0268,Attorney Patel,8/3/2024,Litigation,575
CASE0101,C0175,Attorney Garcia,8/25/2024,Litigation,170
CASE0102,C0107,Attorney Garcia,3/17/2023,Investigation,207
CASE0103,C0114,Attorney Smith,7/6/2024,Investigation,391
CASE0104,C0247,Attorney Lee,11/19/2023,Investigation,289
CASE0105,C0002,Attorney Lee,3/11/2024,Investigation,541
CASE0106,C0006,Attorney Lee,6/18/2024,Litigation,191
CASE0107,C0081,Attorney Nguyen,2/4/2023,Negotiation,159
CASE0108,C0089,Attorney Garcia,4/18/2024,Negotiation,645
CASE0109,C0024,Attorney Patel,2/18/2023,Litigation,310
CASE0110,C0263,Attorney Smith,2/24/2024,Investigation,410
CASE0111,C0133,Attorney Lee,4/7/2024,Negotiation,461
CASE0112,C0040,Attorney Nguyen,12/2/2024,Settlement,145
CASE0113,C0257,Attorney Smith,10/12/2023,Investigation,709
CASE0114,C0039,Attorney Lee,2/5/2024,Litigation,430
CASE0115,C0210,Attorney Garcia,12/2/2024,Investigation,319
CASE0116,C0057,Attorney Garcia,3/17/2024,Settlement,645
CASE0117,C0160,Attorney Garcia,1/27/2024,Litigation,510
CASE0118,C0155,Attorney Garcia,12/15/2023,Negotiation,671
CASE0119,C0248,Attorney Garcia,7/24/2024,Settlement,120
CASE0120,C0225,Attorney Smith,12/17/2024,Settlement,123
CASE0121,C0039,Attorney Nguyen,1/29/2024,Settlement,123
CASE0122,C0019,Attorney Smith,7/20/2023,Settlement,502
CASE0123,C0284,Attorney Patel,1/6/2025,Settlement,576
CASE0124,C0218,Attorney Patel,1/28/2024,Investigation,208
CASE0125,C0149,Attorney Nguyen,2/7/2024,Settlement,566
CASE0126,C0225,Attorney Nguyen,12/16/2024,Investigation,81
CASE0127,C0250,Attorney Lee,8/25/2023,Litigation,668
CASE0128,C0046,Attorney Garcia,6/27/2024,Settlement,464
CASE0129,C0292,Attorney Patel,1/29/2024,Settlement,322
CASE0130,C0013,Attorney Nguyen,7/8/2023,Settlement,332
CASE0131,C0297,Attorney Patel,11/27/2023,Negotiation,551
CASE0132,C0037,Attorney Nguyen,11/9/2024,Investigation,239
CASE0133,C0226,Attorney Lee,7/10/2023,Negotiation,32
CASE0134,C0266,Attorney Patel,6/15/2024,Investigation,572
CASE0135,C0171,Attorney Smith,8/28/2024,Litigation,618
CASE0136,C0205,Attorney Patel,3/14/2024,Litigation,536
CASE0137,C0183,Attorney Lee,9/3/2024,Litigation,644
CASE0138,C0126,Attorney Garcia,2/21/2023,Investigation,561
CASE0139,C0110,Attorney Lee,12/28/2024,Settlement,478
CASE0140,C0172,Attorney Smith,5/22/2023,Settlement,235
CASE0141,C0086,Attorney Nguyen,4/24/2024,Settlement,435
CASE0142,C0225,Attorney Lee,12/27/2024,Litigation,339
CASE0143,C0145,Attorney Smith,6/7/2023,Settlement,351
CASE0144,C0095,Attorney Smith,4/17/2024,Litigation,382
CASE0145,C0294,Attorney Smith,10/18/2023,Litigation,582
CASE0146,C0284,Attorney Lee,12/30/2024,Litigation,488
CASE0147,C0121,Attorney Patel,8/11/2023,Settlement,246
CASE0148,C0067,Attorney Nguyen,8/23/2024,Litigation,43
CASE0149,C0300,Attorney Patel,9/14/2024,Settlement,75
CASE0150,C0176,Attorney Lee,2/6/2024,Negotiation,446
CASE0151,C0180,Attorney Lee,3/2/2023,Settlement,625
CASE0152,C0149,Attorney Patel,2/8/2024,Litigation,334
CASE0153,C0149,Attorney Lee,2/6/2024,Litigation,234
CASE0154,C0235,Attorney Garcia,4/28/2023,Litigation,228
CASE0155,C0114,Attorney Smith,6/17/2024,Investigation,32
CASE0156,C0009,Attorney Lee,5/26/2024,Settlement,595
CASE0157,C0037,Attorney Lee,11/13/2024,Negotiation,607
CASE0158,C0028,Attorney Nguyen,9/22/2024,Investigation,478
CASE0159,C0127,Attorney Nguyen,4/11/2024,Negotiation,587
CASE0160,C0143,Attorney Garcia,9/16/2023,Litigation,354
CASE0161,C0287,Attorney Garcia,4/11/2024,Negotiation,386
CASE0162,C0250,Attorney Patel,9/10/2023,Negotiation,197
CASE0163,C0122,Attorney Patel,1/4/2025,Settlement,279
CASE0164,C0112,Attorney Garcia,4/1/2024,Investigation,396
CASE0165,C0138,Attorney Patel,9/1/2024,Litigation,715
CASE0166,C0209,Attorney Smith,9/20/2023,Litigation,151
CASE0167,C0051,Attorney Patel,8/9/2024,Litigation,41
CASE0168,C0145,Attorney Smith,6/23/2023,Negotiation,632
CASE0169,C0093,Attorney Nguyen,4/22/2023,Settlement,648
CASE0170,C0217,Attorney Lee,1/5/2025,Negotiation,412
CASE0171,C0062,Attorney Nguyen,5/20/2024,Negotiation,185
CASE0172,C0080,Attorney Nguyen,6/16/2024,Investigation,515
CASE0173,C0169,Attorney Patel,8/1/2024,Litigation,595
CASE0174,C0100,Attorney Garcia,6/13/2023,Settlement,443
CASE0175,C0223,Attorney Nguyen,1/24/2024,Settlement,464
CASE0176,C0157,Attorney Smith,5/29/2024,Settlement,406
CASE0177,C0250,Attorney Patel,9/10/2023,Litigation,652
CASE0178,C0043,Attorney Nguyen,10/24/2024,Negotiation,74
CASE0179,C0016,Attorney Nguyen,9/2/2024,Investigation,160
CASE0180,C0187,Attorney Nguyen,2/5/2023,Settlement,726
CASE0181,C0130,Attorney Patel,10/2/2024,Settlement,462
CASE0182,C0225,Attorney Garcia,12/10/2024,Settlement,521
CASE0183,C0009,Attorney Nguyen,6/2/2024,Negotiation,122
CASE0184,C0119,Attorney Patel,2/8/2024,Litigation,171
CASE0185,C0015,Attorney Nguyen,10/22/2023,Litigation,472
CASE0186,C0285,Attorney Lee,7/30/2024,Negotiation,434
CASE0187,C0061,Attorney Smith,7/6/2024,Litigation,180
CASE0188,C0069,Attorney Garcia,9/30/2024,Litigation,708
CASE0189,C0252,Attorney Garcia,5/21/2024,Investigation,43
CASE0190,C0016,Attorney Smith,9/18/2024,Investigation,451
CASE0191,C0283,Attorney Lee,3/28/2023,Litigation,562
CASE0192,C0105,Attorney Patel,5/21/2023,Investigation,223
CASE0193,C0068,Attorney Smith,11/16/2024,Settlement,46
CASE0194,C0035,Attorney Lee,1/8/2025,Settlement,198
CASE0195,C0299,Attorney Smith,10/26/2024,Investigation,419
CASE0196,C0026,Attorney Garcia,5/26/2024,Settlement,388
CASE0197,C0088,Attorney Lee,9/6/2024,Settlement,634
CASE0198,C0102,Attorney Smith,11/18/2023,Investigation,356
CASE0199,C0300,Attorney Nguyen,9/10/2024,Investigation,683
CASE0200,C0207,Attorney Garcia,9/4/2023,Investigation,69
CASE0201,C0191,Attorney Patel,3/27/2024,Investigation,620
CASE0202,C0048,Attorney Lee,4/29/2023,Settlement,611
CASE0203,C0181,Attorney Nguyen,3/22/2024,Investigation,373
CASE0204,C0035,Attorney Nguyen,12/24/2024,Litigation,423
CASE0205,C0230,Attorney Lee,5/16/2024,Negotiation,118
CASE0206,C0284,Attorney Garcia,1/13/2025,Negotiation,61
CASE0207,C0220,Attorney Smith,1/21/2024,Settlement,482
CASE0208,C0202,Attorney Garcia,3/18/2024,Settlement,689
CASE0209,C0280,Attorney Lee,8/9/2023,Negotiation,348
CASE0210,C0220,Attorney Nguyen,2/7/2024,Investigation,593
CASE0211,C0155,Attorney Nguyen,12/11/2023,Settlement,283
CASE0212,C0131,Attorney Smith,2/5/2023,Investigation,72
CASE0213,C0160,Attorney Patel,1/14/2024,Negotiation,163
CASE0214,C0141,Attorney Patel,6/16/2023,Negotiation,33
CASE0215,C0176,Attorney Lee,2/10/2024,Investigation,123
CASE0216,C0032,Attorney Garcia,4/6/2024,Negotiation,713
CASE0217,C0207,Attorney Smith,9/1/2023,Settlement,494
CASE0218,C0129,Attorney Lee,4/12/2024,Investigation,655
CASE0219,C0171,Attorney Lee,8/31/2024,Investigation,88
CASE0220,C0135,Attorney Lee,9/27/2023,Settlement,714
